0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,target,cat_id
3595.6567,-1550.6506,-4002.832,228.2152,266.61133,6323.5273,-2290.6362,-2316.1162,7667.836,2557.9614,1111.597,130.20781,-621.6471,-705.9379,-577.4955,-4926.373,-7255.2383,-7135.173,-3365.795,-5432.6816,-4450.075,3575.1177,-2922.5884,2202.1233,-10326.332,-8598.852,-4876.9717,-8255.719,-2527.0117,1285.5201,-2571.1404,-3410.1272,-5670.683,-6840.13,-10761.6,-2596.218,1825.003,1057.0962,4037.8362,-964.5652,-7797.507,-836.0595,-1566.8257,1218.5305,-4197.266,1465.3099,-11467.651,-6857.2876,2204.4849,-5950.611,-3023.3196,-2087.1045,2809.7676,7080.7256,-7056.2944,-2918.23,-8579.063,1376.8159,-1125.5071,-6245.888,-1089.9066,179.64288,5326.754,883.16797,-3360.515,-1557.203,-2357.2031,-2263.3801,-4455.8286,-3508.8564,-7998.9316,1008.52167,2166.4238,2763.2007,-1815.7441,-3828.29,2086.893,-7671.88,-5251.78,-9668.631,-3414.4648,-5028.0933,4058.7114,2711.6711,-1618.8275,-7127.3643,-2998.0483,-7270.2056,-1381.6372,-9674.215,2428.1938,-7597.343,2028.1521,-6410.4453,-7813.419,-7501.6885,-2018.7548,1738.9779,500.82257,-3299.484,-1361.8636,-5321.1807,-3088.227,-5755.003,2474.7183,2821.8088,-4737.6143,2831.2573,-4979.5283,-2083.9353,-360.27374,3002.4058,-5321.4062,-1737.898,-324.0356,2676.2812,-1259.416,-8135.399,6249.4463,-4776.0537,1600.8096,-8767.805,3134.0884,-661.22766,-3713.7344,4319.3037,-7798.826,-1432.3467,KITTEN,045A
4101.5933,-1775.2277,-4472.9165,237.83765,318.44937,7123.411,-2608.1858,-2627.0234,8658.156,2893.2354,1164.6659,75.61698,-692.7793,-771.57745,-656.1249,-5524.3374,-8230.6875,-8030.982,-3804.7395,-6158.6523,-5020.787,4027.5217,-3304.06,2532.5876,-11604.704,-9669.528,-5458.272,-9314.164,-2879.7715,1402.9718,-2938.6409,-3848.16,-6381.808,-7639.718,-12194.546,-2931.2002,2057.183,1227.8446,4510.6626,-1092.6779,-8815.566,-950.1969,-1756.4155,1433.1967,-4808.9077,1643.1688,-12888.591,-7724.8545,2463.0398,-6709.0786,-3419.1492,-2375.1213,3199.8447,7967.8003,-7949.6665,-3308.9302,-9671.926,1533.5107,-1270.1439,-7038.867,-1212.3873,242.19363,6036.6895,999.1232,-3853.584,-1760.9265,-2635.6514,-2567.7532,-5053.246,-3910.3772,-8963.049,1158.5817,2417.8408,3116.4287,-2080.129,-4296.5806,2361.7803,-8688.376,-5910.1577,-10895.784,-3855.3254,-5634.735,4578.117,3072.5815,-1741.9003,-8071.9487,-3448.5696,-8171.388,-1596.0475,-10955.049,2740.8862,-8576.574,2312.9182,-7251.3237,-8807.65,-8502.319,-2266.531,1943.0363,577.1852,-3790.5435,-1544.8147,-5930.6157,-3411.6426,-6469.471,2792.6606,3180.6243,-5379.5938,3194.1973,-5619.942,-2353.8809,-392.263,3412.0037,-6010.399,-1966.8901,-371.7694,2960.085,-1487.3365,-9214.175,7030.5483,-5329.8193,1827.7079,-9882.461,3538.0046,-711.1515,-4133.044,4883.4736,-8832.148,-1633.9778,YOUNG,074A
3318.665,-1452.006,-3701.7485,216.93015,224.29604,5778.225,-2120.2786,-2147.7195,7012.3096,2345.1062,971.2785,93.154655,-587.7067,-661.5606,-562.2478,-4505.185,-6677.742,-6509.3794,-3098.8665,-4980.301,-4093.6423,3267.5498,-2706.0667,2029.4972,-9472.981,-7886.2354,-4443.7466,-7560.214,-2322.8372,1127.3815,-2380.2312,-3111.0845,-5188.564,-6209.1924,-9878.834,-2370.7532,1646.6084,983.2078,3690.7678,-869.0425,-7134.1196,-791.7811,-1388.6426,1109.1736,-3871.7097,1333.0142,-10483.0,-6294.263,1969.4668,-5436.1294,-2783.7378,-1917.036,2606.7239,6454.2046,-6487.543,-2679.169,-7879.336,1193.2677,-1087.6893,-5718.4053,-978.6595,157.81248,4888.2466,801.8086,-3130.3125,-1432.9176,-2209.8135,-2120.4922,-4133.3394,-3192.6985,-7331.1675,919.6034,1954.8956,2529.9897,-1717.6221,-3518.673,1925.5956,-7025.5996,-4797.823,-8867.698,-3108.1035,-4636.922,3656.132,2486.4065,-1497.5884,-6582.3867,-2774.64,-6684.0596,-1298.3495,-8892.777,2202.1396,-6988.963,1871.348,-5937.805,-7156.915,-6915.252,-1844.0885,1599.0306,469.4473,-3028.791,-1265.5928,-4844.6753,-2843.3105,-5288.5703,2260.8633,2591.195,-4401.4653,2579.7058,-4552.9595,-1942.608,-347.48267,2727.0505,-4885.281,-1599.9796,-327.05856,2379.704,-1175.6348,-7440.5005,5687.6406,-4367.8784,1483.1097,-8014.5493,2853.9207,-581.11145,-3413.5596,3990.7986,-7135.2563,-1317.68,ADULT,083A
3840.4067,-1634.4163,-4206.096,245.10306,328.28043,6685.85,-2421.2634,-2452.464,8101.86,2670.106,1098.5994,75.02039,-646.81934,-763.7872,-624.23083,-5157.5474,-7712.026,-7533.2573,-3554.5076,-5731.4546,-4742.2134,3773.0098,-3087.732,2342.8672,-10880.249,-9059.591,-5130.168,-8702.635,-2697.6016,1308.4529,-2749.918,-3544.4993,-5985.097,-7168.132,-11363.318,-2754.289,1919.4978,1130.0392,4240.7285,-1033.4366,-8246.504,-903.4246,-1634.7909,1270.3455,-4449.516,1568.8813,-12118.972,-7302.5176,2304.4348,-6275.37,-3168.6152,-2210.0334,2979.9001,7475.528,-7465.6587,-3124.9324,-9091.711,1440.5623,-1221.6045,-6597.2764,-1154.9906,198.04047,5661.257,919.01025,-3628.8992,-1648.1387,-2499.4966,-2453.419,-4773.101,-3658.7915,-8416.588,1070.1377,2283.2903,2916.1316,-1967.3223,-4071.9048,2213.705,-8135.53,-5523.1973,-10166.595,-3631.205,-5324.121,4255.582,2875.5203,-1663.58,-7562.1724,-3246.4683,-7700.954,-1497.1775,-10211.586,2558.2239,-8008.4756,2153.5142,-6774.618,-8240.887,-7922.6123,-2108.3315,1840.1774,555.3843,-3530.7708,-1445.5845,-5580.011,-3238.0098,-6052.75,2619.2517,2975.3728,-5023.206,3009.1787,-5251.8413,-2168.3672,-364.6032,3171.3682,-5644.6284,-1825.0549,-375.79822,2799.8057,-1358.1819,-8639.785,6581.4917,-5011.6533,1690.3463,-9266.34,3301.243,-650.4651,-3872.126,4584.0566,-8267.132,-1497.705,SENIOR,025A
3997.2578,-1782.0652,-4372.076,221.92862,292.12665,6958.317,-2523.0413,-2598.425,8477.43,2785.8623,1153.362,23.564457,-674.4379,-792.5511,-641.961,-5375.781,-8061.016,-7852.2217,-3737.1023,-5983.4883,-4915.8506,3921.0388,-3304.478,2481.88,-11420.68,-9507.083,-5349.8213,-9040.22,-2853.678,1338.7574,-2901.783,-3671.6694,-6199.316,-7466.7305,-11888.237,-2843.1123,1969.5305,1184.9567,4408.1587,-1100.4438,-8615.808,-983.0325,-1705.3342,1277.0051,-4619.935,1614.5786,-12668.474,-7640.0977,2399.2244,-6602.642,-3307.142,-2350.299,3084.6326,7801.061,-7798.343,-3257.0854,-9513.448,1469.5535,-1284.0187,-6923.75,-1194.6381,275.28955,5939.1,966.74133,-3769.7136,-1727.9686,-2619.897,-2613.3738,-5021.389,-3784.0574,-8822.146,1111.7781,2358.0337,3048.781,-2112.682,-4272.8604,2337.7205,-8481.743,-5739.132,-10657.448,-3810.2417,-5578.2686,4392.5674,2980.5789,-1750.4823,-7927.2354,-3413.858,-8024.435,-1623.2822,-10696.58,2613.8691,-8390.892,2248.483,-7096.3833,-8600.721,-8233.082,-2156.306,1902.7247,602.6525,-3711.343,-1564.617,-5866.691,-3407.6245,-6354.9834,2758.6548,3082.308,-5251.311,3138.6409,-5466.1284,-2300.9912,-384.88947,3274.7693,-5908.3696,-1886.0143,-431.86032,2874.25,-1436.5061,-9034.072,6854.9204,-5246.7207,1779.5477,-9712.109,3424.398,-633.9526,-4065.354,4786.776,-8599.003,-1621.2604,SENIOR,025A
4077.8818,-1869.3007,-4433.051,204.9833,293.86737,7017.2188,-2599.8567,-2604.405,8526.075,2841.3933,1070.5739,26.694157,-694.8243,-840.53955,-672.3607,-5508.5903,-8187.725,-7981.9927,-3760.2917,-6059.935,-4959.7554,3954.7068,-3312.9438,2519.92,-11581.225,-9557.04,-5419.836,-9217.903,-2881.2937,1330.3411,-2958.9546,-3737.3945,-6271.134,-7461.7827,-12067.803,-2840.498,1921.2511,1217.9292,4432.847,-1103.4551,-8667.653,-1011.2378,-1756.5884,1255.542,-4692.781,1636.1179,-12773.321,-7728.985,2441.7627,-6592.624,-3375.208,-2389.339,3172.4634,7855.762,-7880.6685,-3244.46,-9588.268,1459.256,-1255.3474,-6995.7266,-1205.5404,264.9053,5910.669,963.0578,-3786.7693,-1741.54,-2679.7793,-2578.1638,-5034.201,-3831.1384,-8896.744,1104.9628,2386.6025,3111.346,-2128.833,-4306.5767,2388.0518,-8574.135,-5747.5835,-10833.364,-3755.9429,-5608.472,4458.534,3003.798,-1718.0494,-8025.39,-3495.1099,-8110.4,-1615.3004,-10838.068,2650.7437,-8501.061,2216.4963,-7193.9243,-8672.8545,-8336.657,-2194.9177,1907.7377,566.96783,-3761.191,-1543.5739,-5891.6587,-3415.9158,-6399.386,2798.4407,3148.183,-5381.3857,3171.718,-5538.122,-2337.3044,-383.784,3348.328,-5932.3423,-1917.784,-450.68356,2902.8535,-1449.9357,-9093.603,6905.5327,-5209.046,1734.7794,-9821.936,3478.9133,-676.46454,-4114.674,4871.0024,-8725.845,-1670.7975,KITTEN,042A
3453.2417,-1493.285,-3812.97,212.62778,233.4375,5980.067,-2205.1782,-2229.7102,7252.6953,2436.2556,963.2716,88.93212,-617.81573,-670.2416,-600.1163,-4663.7056,-6943.955,-6764.02,-3228.6614,-5159.7856,-4278.778,3415.2424,-2798.1943,2098.0996,-9830.854,-8148.5864,-4622.629,-7823.4346,-2425.309,1155.2094,-2474.0579,-3216.644,-5387.711,-6453.2075,-10281.182,-2456.523,1708.0548,1024.1129,3808.4182,-900.18146,-7402.3784,-817.5065,-1456.6575,1161.1803,-4030.8472,1389.3086,-10900.606,-6541.9873,2062.325,-5636.9775,-2913.4434,-1950.4893,2712.4478,6661.447,-6740.6216,-2762.102,-8190.687,1228.1075,-1146.5669,-5948.4404,-1027.722,157.2767,5076.6387,846.66284,-3259.8362,-1482.2651,-2263.1938,-2200.9631,-4296.9766,-3305.4216,-7595.44,955.3386,2011.4598,2615.3628,-1805.0677,-3633.894,1979.9152,-7300.043,-4970.7275,-9217.779,-3237.4692,-4771.9316,3786.8914,2567.5486,-1542.0817,-6811.723,-2899.4739,-6955.5864,-1317.448,-9227.583,2278.0593,-7255.4307,1918.3054,-6168.7017,-7425.216,-7131.0327,-1902.8002,1642.2086,471.97125,-3168.6404,-1314.6113,-5009.5317,-2946.686,-5464.499,2342.906,2693.3367,-4579.372,2676.1208,-4717.646,-1981.9056,-348.46985,2825.7932,-5076.817,-1664.4053,-354.78586,2471.5083,-1226.4404,-7716.403,5882.7837,-4488.5293,1552.0183,-8295.411,2960.021,-609.4298,-3516.8728,4157.0015,-7396.561,-1364.8932,YOUNG,086A
3700.1934,-1560.7257,-4088.4607,261.601,271.23773,6462.7427,-2363.155,-2350.999,7851.427,2630.1294,1155.8394,80.127144,-649.81793,-722.5685,-662.5021,-4972.298,-7495.0513,-7227.7593,-3485.8743,-5572.121,-4634.194,3614.9727,-3001.835,2258.9834,-10604.82,-8790.5205,-5005.3447,-8423.207,-2596.8796,1255.1447,-2656.0315,-3429.9028,-5770.8584,-6944.6934,-11082.404,-2642.2803,1891.3088,1104.5055,4156.197,-987.6881,-7974.29,-895.43665,-1536.7794,1222.0342,-4339.152,1492.2224,-11748.005,-7052.8184,2193.5396,-6082.2227,-3159.2842,-2106.8972,2919.009,7224.4497,-7272.4414,-2981.999,-8801.471,1376.8246,-1231.326,-6407.945,-1057.5221,207.88644,5552.1377,934.1107,-3511.974,-1594.9786,-2439.5469,-2398.0828,-4597.289,-3587.0579,-8177.4214,1077.4589,2190.0098,2832.8916,-1969.1179,-3927.001,2112.6694,-7851.89,-5372.3496,-9871.836,-3521.0,-5154.1387,4137.1777,2768.895,-1604.3611,-7316.257,-3071.9878,-7509.2114,-1432.965,-9895.064,2522.859,-7796.784,2067.4185,-6602.4336,-7991.611,-7691.17,-2028.601,1810.6138,569.8512,-3464.0627,-1399.9695,-5396.397,-3184.9878,-5886.1123,2537.798,2874.8313,-4895.6733,2877.321,-5053.774,-2135.3972,-359.39783,3057.2664,-5455.7046,-1782.7977,-317.31183,2700.0293,-1291.2963,-8285.473,6391.2573,-4890.798,1707.1605,-8944.2705,3182.6042,-642.4152,-3759.4077,4439.363,-8002.0137,-1455.3121,YOUNG,086A
3432.1577,-1501.9735,-3799.9575,201.83292,255.44566,5928.4565,-2173.8413,-2219.8987,7179.4614,2397.7036,952.47565,71.86915,-607.93353,-672.2338,-579.19684,-4620.787,-6911.236,-6690.8843,-3191.0554,-5107.9272,-4204.553,3386.0752,-2786.5522,2105.479,-9709.518,-8079.8945,-4522.5454,-7775.788,-2411.0342,1151.5022,-2455.5452,-3217.3984,-5334.8423,-6378.339,-10188.82,-2433.9795,1670.4614,1015.43506,3788.796,-896.6256,-7327.9087,-826.838,-1434.4319,1151.5762,-4030.736,1382.9207,-10789.149,-6447.285,2025.2452,-5577.381,-2849.4604,-1967.4319,2687.4412,6607.3906,-6670.809,-2766.7446,-8110.46,1213.5071,-1104.1669,-5873.162,-973.5723,167.065,5012.823,846.0614,-3269.8503,-1471.9784,-2268.416,-2193.866,-4263.048,-3254.3943,-7507.5474,962.00037,2000.1876,2623.7737,-1771.6776,-3612.7397,1959.5078,-7250.518,-4916.3716,-9110.854,-3183.4417,-4743.9136,3746.4536,2575.178,-1513.8937,-6764.812,-2913.3723,-6915.1606,-1327.8552,-9160.572,2261.4648,-7163.6865,1942.127,-6121.5796,-7387.5215,-7109.9927,-1892.4376,1606.0035,466.4997,-3146.7659,-1311.1646,-4963.4585,-2886.604,-5420.5107,2338.3718,2676.5422,-4563.0415,2658.249,-4686.376,-1967.422,-345.13635,2798.7327,-5042.6147,-1651.2736,-353.12863,2437.895,-1240.9778,-7664.124,5832.098,-4448.336,1543.6272,-8239.884,2947.8804,-601.008,-3472.566,4121.876,-7344.6553,-1368.7649,ADULT,083A
3872.4736,-1676.1691,-4277.7266,251.5487,341.33752,6809.903,-2446.4565,-2450.209,8277.494,2752.1753,1204.228,108.00701,-649.2151,-733.34607,-600.3833,-5258.5806,-7851.0645,-7656.7446,-3597.1504,-5850.9355,-4781.0747,3816.554,-3156.2598,2416.9167,-11087.401,-9221.829,-5220.7676,-8882.319,-2739.331,1339.0298,-2814.785,-3622.1528,-6061.787,-7284.3496,-11634.316,-2778.2932,1962.6814,1168.7084,4364.4766,-1038.8918,-8382.864,-920.5431,-1664.011,1286.7809,-4593.761,1567.915,-12325.395,-7370.8843,2341.201,-6412.045,-3249.8945,-2260.1343,3031.7761,7653.513,-7589.52,-3178.8027,-9214.34,1509.9353,-1209.1455,-6709.508,-1143.2354,266.76947,5798.952,958.27344,-3638.275,-1677.375,-2571.9316,-2530.4907,-4813.9043,-3739.0852,-8573.32,1127.8801,2339.3743,3012.3774,-2004.3604,-4139.219,2272.7603,-8321.569,-5626.7188,-10354.377,-3699.4783,-5420.8564,4357.914,2919.5032,-1694.7551,-7677.754,-3296.0151,-7804.8447,-1532.1002,-10401.882,2623.4585,-8178.8364,2208.043,-6916.4136,-8360.705,-8058.6787,-2137.7185,1903.7432,598.92285,-3593.413,-1504.8689,-5685.8623,-3291.6982,-6203.7373,2681.074,3009.9236,-5114.0874,3053.7834,-5334.9067,-2243.6887,-370.57336,3238.9077,-5718.6753,-1860.0758,-334.02042,2885.5337,-1376.33,-8768.54,6736.309,-5108.829,1736.6486,-9444.088,3373.245,-644.62177,-3949.693,4635.9834,-8413.694,-1553.4801,SENIOR,057A
4141.169,-1688.1058,-4562.3203,265.09637,341.4926,7207.558,-2575.1045,-2601.8228,8740.906,2928.2197,1311.7434,127.43184,-704.6281,-807.1004,-706.66956,-5552.09,-8358.155,-8069.8525,-3868.1145,-6226.1973,-5164.7515,4068.0393,-3323.6836,2502.1436,-11741.652,-9771.394,-5497.7676,-9350.927,-2889.5774,1416.8389,-2948.7869,-3798.763,-6458.266,-7803.7417,-12275.828,-2960.4617,2118.0608,1235.0083,4623.721,-1086.3417,-8911.741,-984.5272,-1760.4178,1382.2859,-4796.659,1681.3484,-13050.044,-7828.1885,2437.6882,-6816.5386,-3457.1887,-2357.0508,3231.3596,8068.3896,-8062.4927,-3371.933,-9802.84,1586.8164,-1375.0785,-7105.056,-1201.5679,257.43732,6202.13,1032.0824,-3921.2622,-1777.6462,-2741.9507,-2724.7202,-5081.011,-3982.8071,-9072.01,1229.566,2456.2383,3166.3481,-2139.3843,-4387.8926,2377.3826,-8793.206,-5996.927,-10989.1875,-3930.9197,-5759.9785,4598.668,3104.8303,-1816.5096,-8136.824,-3407.7441,-8303.014,-1587.3843,-11083.748,2789.9106,-8680.42,2389.8042,-7310.022,-8856.9,-8581.915,-2271.1313,2039.511,640.17505,-3793.2664,-1601.3569,-5986.8706,-3517.677,-6577.26,2827.6843,3222.649,-5405.6553,3207.7925,-5671.055,-2367.6006,-416.93945,3389.9016,-6091.0728,-1971.8938,-357.51193,3021.3735,-1429.3798,-9288.357,7122.0776,-5440.23,1900.4,-9915.229,3556.1282,-689.6434,-4177.6772,4952.963,-8898.516,-1583.0837,SENIOR,081A
3838.713,-1709.0668,-4267.5225,259.98016,288.50726,6704.0107,-2438.7537,-2422.7227,8146.0645,2717.963,1167.3578,101.62737,-650.24225,-709.6893,-606.11127,-5197.0654,-7710.4526,-7563.15,-3533.2766,-5813.9985,-4730.897,3751.36,-3128.6987,2397.544,-10934.708,-9091.701,-5150.1357,-8779.123,-2685.826,1299.7931,-2773.6753,-3580.7896,-5943.1826,-7179.8027,-11459.689,-2737.952,1954.1982,1182.9287,4275.448,-1002.03326,-8255.058,-928.4511,-1629.6731,1296.4924,-4500.611,1520.1614,-12151.115,-7238.3555,2312.464,-6310.2256,-3182.849,-2213.1873,2988.406,7531.513,-7458.7905,-3106.3438,-9068.239,1478.1587,-1203.3405,-6566.832,-1137.2592,269.80365,5727.0557,921.3666,-3601.6797,-1652.36,-2482.4434,-2447.644,-4733.8677,-3694.6604,-8468.656,1110.7899,2310.119,2932.3052,-1984.3356,-4035.2056,2248.5022,-8179.925,-5550.9136,-10248.87,-3640.6785,-5323.978,4297.37,2866.9382,-1637.8367,-7604.11,-3202.229,-7693.6846,-1545.0724,-10278.835,2590.3452,-8079.5093,2178.302,-6821.357,-8219.525,-7942.027,-2109.4011,1870.5841,578.42725,-3537.2368,-1442.8895,-5598.989,-3229.942,-6116.338,2623.2961,2949.8792,-5052.488,3002.44,-5259.395,-2212.51,-370.42926,3230.662,-5626.284,-1840.5723,-317.30917,2827.6042,-1359.0641,-8654.62,6619.4224,-5028.5234,1696.7896,-9353.486,3322.0798,-609.6675,-3895.7979,4569.4644,-8325.175,-1557.4564,YOUNG,029A
